security_id,cusip,issuer,reason,conflicting_evidence,impacted_observation_count,affected_variants,affected_splits,recommended_review_action
,Y9390M103,VINFAST AUTO LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,16,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,20731J102,PRESURANCE HOLDINGS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,15,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,46435U218,ISHARES TR,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],15,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,87200P109,SYSTEM1 INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,15,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,G4000K175,GORILLA TECHNOLOGY GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,15,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,26923N819,ETF OPPORTUNITIES TRUST,CONFLICT,SEC title 'T-REX 2X LNG NVIDIA DLY TRGT' -> ['TRXA'] != OpenFIGI NVDX,14,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V191,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P MIDCAP 400 PURE' -> ['VVR'] != OpenFIGI RFV,14,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V332,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPH,14,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E206,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO CALIFORNIA AMT-FREE' -> ['VCV'] != OpenFIGI PWZ,14,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E263,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P GLOBAL WATER IND' -> ['VVR'] != OpenFIGI CGW,14,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,590717401,MESOBLAST LTD,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,14,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,683712137,OPENDOOR TECHNOLOGIES INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,14,O0;O1_2Q,H1_time_holdout,resolve ambiguity
,78163D100,RUNWAY GROWTH FINANCE CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,14,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,G20707108,CHECHE GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,14,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,Y2066G138,DIANA SHIPPING INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,14,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined,resolve ambiguity
,08178Q309,BENEFICIENT,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,09260U109,BLACKROCK CAP ALLOCATION TER,AMBIGUOUS,"multiple distinct US tickers: ['BCAT', 'XCATX']",13,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,21924U300,CORNERSTONE TOTAL RETURN FD,AMBIGUOUS,"multiple distinct US tickers: ['CRF', 'XCRFX']",13,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,26923N835,ETF OPPORTUNITIES TRUST,CONFLICT,SEC title 'T-REX 2X LNG TESLA DLY TRGT' -> ['TRXA'] != OpenFIGI TSLT,13,O0;O1_2Q;O1_3Q,H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,456948108,MULTISENSOR AI HOLDINGS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0,H0_dev;H2_manager_holdout,resolve ambiguity
,46137V167,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P SMALLCAP 600 PUR' -> ['VVR'] != OpenFIGI RZV,13,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V399,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 BUYWRITE ETF' -> ['VVR'] != OpenFIGI PBP,13,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138E297,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P EMERGING MARKETS' -> ['VVR'] != OpenFIGI EELV,13,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,500767736,KRANESHARES TRUST,CONFLICT,13F title_of_class declares ADR but OpenFIGI securityType=['ETP'],13,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,744413105,P3 HEALTH PARTNERS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,84862C203,SPLASH BEVERAGE GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,87283Q883,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TFLR,13,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,G1152A104,BITFUFU INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,G4236L138,GUARDFORCE AI CO LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,H5870P102,OCULIS HOLDING AG,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q;O1_3Q,H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,M68057104,MARIS TECH LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,13,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,09076W117,BIOAFFINITY TECHNOLOGIES INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,098070154,BONE BIOLOGICS CORP,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,22544F103,CREDIT SUISSE HIGH YIELD CRE,AMBIGUOUS,"multiple distinct US tickers: ['DHY', 'XDHYX']",12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,33830Q109,5E ADVANCED MATERIALS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q,H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,35473P553,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. CORE BOND ETF' -> ['FT'] != OpenFIGI FLCB,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,45409F785,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY CORE PLUS BOND' -> ['MMD'] != OpenFIGI CPLB,12,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,46137V373,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPS,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V449,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 100 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI EQWL,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,review conflict evidence
,46137V472,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P MIDCAP QUAL ETF' -> ['VVR'] != OpenFIGI XMHQ,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138E115,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP INFORMA' -> ['VVR'] != OpenFIGI PSCT,12,O0;O1_2Q,H3_security_holdout;H3_security_holdout;H4_combined,review conflict evidence
,46138E123,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP INDUSTR' -> ['VVR'] != OpenFIGI PSCI,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138E172,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP CONSUME' -> ['VVR'] != OpenFIGI PSCC,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E198,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P MIDCAP LOW VOLAT' -> ['VVR'] != OpenFIGI XMLV,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138E230,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P INTERNATIONAL DE' -> ['VVR'] != OpenFIGI IDLV,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,52468L406,LEGG MASON ETF INVT,CONFLICT,SEC title 'FRANKLIN U.S. LOW VOLATILITY' -> ['FT'] != OpenFIGI LVHD,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,53656F623,LISTED FDS TR,CONFLICT,SEC title 'HORIZON KINETICS INFL BENEF' -> ['HKHC'] != OpenFIGI INFL,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,552737108,ABERDEEN MULTI-MARKET INCOME,AMBIGUOUS,"multiple distinct US tickers: ['MMT', 'XMMTX']",12,O0;O1_2Q,H3_security_holdout;H3_security_holdout,resolve ambiguity
,617477104,MORGAN STANLEY EMERGING MKTS,AMBIGUOUS,"multiple distinct US tickers: ['EDD', 'XEDDX']",12,O0,H3_security_holdout;H4_combined,resolve ambiguity
,74933W536,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 10 YEAR NOTE' -> ['FMBM'] != OpenFIGI UTEN,12,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,74933W544,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 20 YEAR BOND' -> ['FMBM'] != OpenFIGI UTWY,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,76135L119,REVELATION BIOSCIENCES INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,77313F114,ROCKET PHARMACEUTICALS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,824430102,SHF HOLDINGS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q,H0_dev;H0_dev,resolve ambiguity
,87283Q602,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TAGG,12,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,review conflict evidence
,87283Q842,T ROWE PRICE EXCHANGE-TRADED,CONFLICT,SEC unique ticker TKNZ != OpenFIGI TGRT,12,O0;O1_2Q;O1_3Q,H3_security_holdout,review conflict evidence
,G0370L116,GRAB HOLDINGS LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0,H2_manager_holdout,resolve ambiguity
,G3142E105,EUDA HEALTH HOLDINGS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,M61472110,NEXERA TECHNOLOGIES LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,Q56120142,LOCAFY LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,resolve ambiguity
,Y2188B108,DYNAGAS LNG PARTNERS LP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,12,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,02008G201,ALLURION TECHNOLOGIES INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0,H2_manager_holdout,resolve ambiguity
,09076W109,BIOAFFINITY TECHNOLOGIES INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q,H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,09260K101,BLACKROCK SCIENCE & TECHNOLO,AMBIGUOUS,"multiple distinct US tickers: ['BSTZ', 'XBSZX']",11,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,09660L105,BNY MELLON HIGH YIELD STRATE,AMBIGUOUS,"multiple distinct US tickers: ['DHF', 'XDHFX']",11,O0;O1_2Q,H3_security_holdout;H3_security_holdout;H4_combined,resolve ambiguity
,104932108,BRAND ENGAGEMENT NETWORK INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,23325P104,DNP SELECT INCOME FD INC,AMBIGUOUS,"multiple distinct US tickers: ['DNP', 'XDNPX']",11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,35473P488,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. TREASURY BOND' -> ['FT'] != OpenFIGI FLGV,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,35473P884,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. MID CAP MULTIF' -> ['FT'] != OpenFIGI FLQM,11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,362397101,GABELLI EQUITY TR INC,AMBIGUOUS,"multiple distinct US tickers: ['GAB', 'XGABX']",11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,42968F108,HIGH INCOME SECS FD,AMBIGUOUS,"multiple distinct US tickers: ['PCF', 'XPCFX']",11,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,45409F736,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY HIGH INCOME ETF' -> ['MMD'] != OpenFIGI IQHI,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,45409F827,NEW YORK LIFE INVTS ACTIVE E,CONFLICT,SEC title 'NYLI MACKAY MUNI INTRM ETF' -> ['MMD'] != OpenFIGI MMIT,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V324,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPN,11,O0;O1_2Q,H3_security_holdout,review conflict evidence
,46137V381,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPD,11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46141D203,INVESCO DB US DLR INDEX TR,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout,resolve ambiguity
,51655R101,LANZATECH GLOBAL INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q,H0_dev;H0_dev;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,64190A103,NEUBERGER R/EST SECS INC FD,AMBIGUOUS,"multiple distinct US tickers: ['NRO', 'XNROX']",11,O0,H0_dev;H1_time_holdout,resolve ambiguity
,670656107,NUVEEN NY AMT FREE,AMBIGUOUS,"multiple distinct US tickers: ['NRK', 'XNRKX']",11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,670657105,NUVEEN AMT FREE QLTY MUN INC,AMBIGUOUS,"multiple distinct US tickers: ['NEA', 'XNEAX']",11,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,691543102,OXFORD LANE CAP CORP,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,74933W528,RBB FD INC,CONFLICT,SEC title 'F/M US TREASURY 7 YEAR NOTE' -> ['FMBM'] != OpenFIGI USVN,11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,75946W116,RELIANCE GLOBAL GROUP INC,CONFLICT,SEC unique ticker EZRA != OpenFIGI EZRAW,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,84862C302,SPLASH BEVERAGE GROUP INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q,H4_combined,resolve ambiguity
,895436103,TRI CONTL CORP,AMBIGUOUS,"multiple distinct US tickers: ['TY', 'XTYCX']",11,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,G0085J117,ADS TEC ENERGY PLC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev,resolve ambiguity
,G0411D115,APOLLOMICS INC,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,11,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,resolve ambiguity
,09255P107,BLACKROCK CORPOR HI YLD FD I,AMBIGUOUS,"multiple distinct US tickers: ['HYT', 'XHYTX']",10,O0;O1_2Q,H0_dev;H0_dev;H2_manager_holdout,resolve ambiguity
,09260Q108,BLACKROCK TECH AND PRIVATE E,AMBIGUOUS,"multiple distinct US tickers: ['BTX', 'XBTPX']",10,O0,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,09262G108,BLACKROCK 2037 MUNICIPAL TAR,AMBIGUOUS,"multiple distinct US tickers: ['BMN', 'XBMNX']",10,O0,H3_security_holdout;H4_combined,resolve ambiguity
,165167180,EXPAND ENERGY CORPORATION,CONFLICT,SEC unique ticker EXE != OpenFIGI EXEEL,10,O0;O1_2Q,H0_dev;H0_dev,review conflict evidence
,25861R105,DOUBLELINE ETF TRUST,CONFLICT,SEC title 'DOUBLELINE OPPOR COR BND-USD' -> ['DBL'] != OpenFIGI DBND,10,O0;O1_2Q,H3_security_holdout;H3_security_holdout,review conflict evidence
,258622109,DOUBLELINE INCOME SOLUTIONS,AMBIGUOUS,"multiple distinct US tickers: ['DSL', 'XDSLX']",10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,resolve ambiguity
,320703309,CALIDI BIOTHERAPEUTICS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H0_dev;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,337655302,FISCALNOTE HOLDINGS INC,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,10,O0;O1_2Q,H1_time_holdout,resolve ambiguity
,35472T101,FRANKLIN LTD DURATION INCOME,AMBIGUOUS,"multiple distinct US tickers: ['FTF', 'XFTFX']",10,O0,H0_dev;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,35473P405,FRANKLIN TEMPLETON ETF TR,CONFLICT,SEC title 'FRANKLIN U.S. EQUITY INDEX E' -> ['FT'] != OpenFIGI USPX,10,O0;O1_2Q,H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,43010E404,HIGHLAND OPPS & INCOME FD,AMBIGUOUS,"multiple distinct US tickers: ['HFRO', 'XHFOX']",10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
,46137V159,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P SPIN-OFF ETF' -> ['VVR'] != OpenFIGI CSD,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V175,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P SMALLCAP 600 PUR' -> ['VVR'] != OpenFIGI RZG,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V217,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P MIDCAP 400 PURE' -> ['VVR'] != OpenFIGI RFG,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V225,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P MIDCAP 400 GARP' -> ['VVR'] != OpenFIGI GRPM,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V316,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPM,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46137V340,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P 500 EQUAL WEIGHT' -> ['VVR'] != OpenFIGI RSPF,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46137V480,INVESCO EXCHANGE TRADED FD T,CONFLICT,SEC title 'INVESCO S&P SMALLCAP VALUE W' -> ['VVR'] != OpenFIGI XSVM,10,O0,H3_security_holdout;H4_combined,review conflict evidence
,46138E180,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P SMALLCAP CONSUME' -> ['VVR'] != OpenFIGI PSCD,10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E289,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P EMERGING MARKETS' -> ['VVR'] != OpenFIGI EEMO,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E388,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 EX-RATE SENS' -> ['VVR'] != OpenFIGI XRLV,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,review conflict evidence
,46138E396,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P 500 CONCENTRATED' -> ['VVR'] != OpenFIGI QVMT,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,46138G656,INVESCO EXCH TRADED FD TR II,CONFLICT,SEC title 'INVESCO S&P ULTRA DIVIDEND' -> ['VVR'] != OpenFIGI RDIV,10,O0;O1_2Q,H0_dev;H0_dev;H1_time_holdout,review conflict evidence
,50186A132,LGL GROUP INC,CONFLICT,SEC unique ticker LGL != OpenFIGI LGL/WS,10,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout,review conflict evidence
,530158104,LIBERTY ALL STAR EQUITY FD,AMBIGUOUS,"multiple distinct US tickers: ['USA', 'XUSAX']",10,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout,resolve ambiguity
